[2026-06-09 18:15:08] GET /api/metrics/summary - Total: 7.85ms, DB Conn: 0.79ms, DB Query: 1.22ms
[2026-06-09 18:15:08] GET /api/metrics/charts - Total: 6.50ms, DB Conn: 1.02ms, DB Query: 3.93ms
[2026-06-09 18:15:08] GET /api/metrics/table - Total: 16.08ms, DB Conn: 0.68ms, DB Query: 2.19ms
[2026-06-09 18:15:13] GET /api/metrics/summary - Total: 3.69ms, DB Conn: 0.71ms, DB Query: 1.09ms
[2026-06-09 18:15:13] GET /api/metrics/table - Total: 8.03ms, DB Conn: 1.03ms, DB Query: 1.98ms
[2026-06-09 18:15:13] GET /api/metrics/charts - Total: 9.39ms, DB Conn: 1.01ms, DB Query: 5.88ms
[2026-06-09 18:15:16] GET /api/metrics/summary - Total: 3.42ms, DB Conn: 0.84ms, DB Query: 0.95ms
[2026-06-09 18:15:16] GET /api/metrics/charts - Total: 6.09ms, DB Conn: 0.67ms, DB Query: 4.05ms
[2026-06-09 18:15:16] GET /api/metrics/table - Total: 10.36ms, DB Conn: 0.86ms, DB Query: 1.63ms
[2026-06-09 18:15:17] GET /api/metrics/table - Total: 4.85ms, DB Conn: 1.22ms, DB Query: 1.57ms
[2026-06-09 18:15:17] GET /api/metrics/summary - Total: 3.06ms, DB Conn: 0.88ms, DB Query: 1.15ms
[2026-06-09 18:15:17] GET /api/metrics/charts - Total: 6.56ms, DB Conn: 1.04ms, DB Query: 4.41ms
[2026-06-09 18:15:19] GET /api/metrics/summary - Total: 3.75ms, DB Conn: 0.95ms, DB Query: 1.47ms
[2026-06-09 18:15:19] GET /api/metrics/table - Total: 6.48ms, DB Conn: 0.95ms, DB Query: 1.96ms
[2026-06-09 18:15:19] GET /api/metrics/charts - Total: 7.46ms, DB Conn: 0.77ms, DB Query: 4.16ms
[2026-06-09 18:15:20] GET /api/metrics/summary - Total: 2.99ms, DB Conn: 0.89ms, DB Query: 1.12ms
[2026-06-09 18:15:20] GET /api/metrics/table - Total: 3.21ms, DB Conn: 0.75ms, DB Query: 1.13ms
[2026-06-09 18:15:20] GET /api/metrics/charts - Total: 5.99ms, DB Conn: 0.99ms, DB Query: 3.78ms
[2026-06-09 18:15:22] GET /api/metrics/table - Total: 3.31ms, DB Conn: 0.97ms, DB Query: 0.98ms
[2026-06-09 18:15:22] GET /api/metrics/summary - Total: 3.14ms, DB Conn: 0.98ms, DB Query: 1.07ms
[2026-06-09 18:15:22] GET /api/metrics/charts - Total: 5.81ms, DB Conn: 0.84ms, DB Query: 3.48ms
[2026-06-09 18:15:24] GET /api/metrics/table - Total: 3.50ms, DB Conn: 0.96ms, DB Query: 1.42ms
[2026-06-09 18:15:24] GET /api/metrics/summary - Total: 3.51ms, DB Conn: 0.84ms, DB Query: 1.53ms
[2026-06-09 18:15:24] GET /api/metrics/charts - Total: 6.02ms, DB Conn: 0.96ms, DB Query: 3.70ms
[2026-06-09 18:15:25] GET /api/metrics/summary - Total: 4.45ms, DB Conn: 0.84ms, DB Query: 1.30ms
[2026-06-09 18:15:25] GET /api/metrics/table - Total: 4.27ms, DB Conn: 0.64ms, DB Query: 1.38ms
[2026-06-09 18:15:25] GET /api/metrics/charts - Total: 7.43ms, DB Conn: 1.01ms, DB Query: 4.69ms
